GMMA_3,GMMA_5,GMMA_8,GMMA_10,GMMA_12,GMMA_15,GMMA_20,GMMA_30,GMMA_35,GMMA_40,GMMA_45,GMMA_50,GMMA_60
,,,,,,,,,,,,
3157.0,2441.333333333333,1782.5555555555557,1505.6363636363635,1301.4615384615386,1081.0,842.2857142857142,583.1612903225806,505.2222222222222,445.5121951219512,399.1304347826087,360.9607843137255,303.1967213114754
1896.0,1264.0,842.6666666666666,689.4545454545455,583.3846153846155,474.0,361.1428571428571,244.64516129032256,210.66666666666666,184.97560975609755,164.8695652173913,148.7058823529412,124.32786885245902
1896.0,1264.0,842.6666666666666,689.4545454545455,583.3846153846155,474.0,361.1428571428571,244.64516129032256,210.66666666666666,184.97560975609755,164.8695652173913,148.7058823529412,124.32786885245902
1896.0,1264.0,842.6666666666666,689.4545454545455,583.3846153846155,474.0,361.1428571428571,244.64516129032256,210.66666666666666,184.97560975609755,164.8695652173913,148.7058823529412,124.32786885245902
1895.0,1263.3333333333333,842.2222222222222,689.0909090909091,583.0769230769231,473.75,360.9523809523809,244.51612903225805,210.55555555555554,184.8780487804878,164.78260869565216,148.62745098039215,124.26229508196722
1895.0,1263.3333333333333,842.2222222222222,689.0909090909091,583.0769230769231,473.75,360.9523809523809,244.51612903225805,210.55555555555554,184.8780487804878,164.78260869565216,148.62745098039215,124.26229508196722
1894.5,1263.0,842.0,688.9090909090909,582.9230769230769,473.625,360.85714285714283,244.4516129032258,210.5,184.82926829268294,164.7391304347826,148.58823529411765,124.22950819672131
1894.5,1263.0,842.0,688.9090909090909,582.9230769230769,473.625,360.85714285714283,244.4516129032258,210.5,184.82926829268294,164.7391304347826,148.58823529411765,124.22950819672131
1893.0,1262.0,841.3333333333333,688.3636363636364,582.4615384615385,473.25,360.57142857142856,244.25806451612902,210.33333333333331,184.6829268292683,164.6086956521739,148.47058823529412,124.13114754098362
1894.0,1262.6666666666665,841.7777777777777,688.7272727272727,582.7692307692308,473.5,360.76190476190476,244.38709677419354,210.44444444444443,184.78048780487805,164.69565217391303,148.54901960784312,124.19672131147541
1892.5,1261.6666666666665,841.1111111111111,688.1818181818182,582.3076923076924,473.125,360.4761904761905,244.19354838709677,210.27777777777777,184.63414634146343,164.56521739130434,148.4313725490196,124.09836065573771
1893.0,1262.0,841.3333333333333,688.3636363636364,582.4615384615385,473.25,360.57142857142856,244.25806451612902,210.33333333333331,184.6829268292683,164.6086956521739,148.47058823529412,124.13114754098362
1894.0,1262.6666666666665,841.7777777777777,688.7272727272727,582.7692307692308,473.5,360.76190476190476,244.38709677419354,210.44444444444443,184.78048780487805,164.69565217391303,148.54901960784312,124.19672131147541
1894.5,1263.0,842.0,688.9090909090909,582.9230769230769,473.625,360.85714285714283,244.4516129032258,210.5,184.82926829268294,164.7391304347826,148.58823529411765,124.22950819672131
1894.0,1262.6666666666665,841.7777777777777,688.7272727272727,582.7692307692308,473.5,360.76190476190476,244.38709677419354,210.44444444444443,184.78048780487805,164.69565217391303,148.54901960784312,124.19672131147541
1893.5,1262.3333333333333,841.5555555555555,688.5454545454546,582.6153846153846,473.375,360.66666666666663,244.32258064516128,210.38888888888889,184.7317073170732,164.65217391304347,148.50980392156862,124.16393442622952
1891.5,1261.0,840.6666666666666,687.8181818181819,582.0,472.875,360.2857142857143,244.06451612903226,210.16666666666666,184.53658536585365,164.47826086956522,148.35294117647058,124.03278688524591
1892.0,1261.3333333333333,840.8888888888888,688.0,582.1538461538462,473.0,360.38095238095235,244.1290322580645,210.2222222222222,184.58536585365854,164.52173913043478,148.39215686274508,124.06557377049181
1891.0,1260.6666666666665,840.4444444444443,687.6363636363636,581.8461538461539,472.75,360.19047619047615,244.0,210.1111111111111,184.4878048780488,164.43478260869566,148.31372549019608,124.0
1891.0,1260.6666666666665,840.4444444444443,687.6363636363636,581.8461538461539,472.75,360.19047619047615,244.0,210.1111111111111,184.4878048780488,164.43478260869566,148.31372549019608,124.0
1892.0,1261.3333333333333,840.8888888888888,688.0,582.1538461538462,473.0,360.38095238095235,244.1290322580645,210.2222222222222,184.58536585365854,164.52173913043478,148.39215686274508,124.06557377049181
1891.5,1261.0,840.6666666666666,687.8181818181819,582.0,472.875,360.2857142857143,244.06451612903226,210.16666666666666,184.53658536585365,164.47826086956522,148.35294117647058,124.03278688524591
1896.0,1264.0,842.6666666666666,689.4545454545455,583.3846153846155,474.0,361.1428571428571,244.64516129032256,210.66666666666666,184.97560975609755,164.8695652173913,148.7058823529412,124.32786885245902
1895.5,1263.6666666666665,842.4444444444443,689.2727272727273,583.2307692307693,473.875,361.04761904761904,244.5806451612903,210.6111111111111,184.9268292682927,164.82608695652172,148.66666666666666,124.29508196721312
1895.5,1263.6666666666665,842.4444444444443,689.2727272727273,583.2307692307693,473.875,361.04761904761904,244.5806451612903,210.6111111111111,184.9268292682927,164.82608695652172,148.66666666666666,124.29508196721312
1894.0,1262.6666666666665,841.7777777777777,688.7272727272727,582.7692307692308,473.5,360.76190476190476,244.38709677419354,210.44444444444443,184.78048780487805,164.69565217391303,148.54901960784312,124.19672131147541
1894.0,1262.6666666666665,841.7777777777777,688.7272727272727,582.7692307692308,473.5,360.76190476190476,244.38709677419354,210.44444444444443,184.78048780487805,164.69565217391303,148.54901960784312,124.19672131147541
