ema_3,ema_5,ema_8,ema_10,ema_12,ema_13,ema_15,ema_20,ema_26,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60,ema_70,ema_80,ema_90,ema_100,ema_110,ema_120,ema_130,ema_140,ema_150,ema_160,ema_170,ema_180,ema_190,ema_200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840.5,2104.111111111111,1496.2716049382716,1252.0495867768595,1075.7278106508877,1004.8367346938776,887.6875,687.0702947845805,540.3264746227708,472.94276795005203,409.1419753086419,360.498512790006,322.187145557656,291.23337178008455,244.28863208814835,210.3745288633208,184.727632982777,164.65378577466493,148.51465542593863,135.2567161756351,124.17170958267879,114.76592273177553,106.68467380916452,99.66659357045745,93.51483353265691,88.07831469511986,83.23915631390983,78.90403223595845,74.99809410658153
2841.75,2104.8888888888887,1496.7654320987654,1252.4462809917354,1076.0591715976332,1005.1428571428571,887.953125,687.2698412698412,540.4801097393689,473.0759625390218,409.2561728395061,360.5984533016062,322.2759924385633,291.3133410226836,244.3552808384843,210.4316603848443,184.77762536198748,164.698224852071,148.55465150475442,135.29307686064442,124.20504063930059,114.79669016957052,106.71324380061364,99.69325906758476,93.53983256818795,88.10184330221264,83.26137785781876,78.92508429045256,75.01809361154427
2843.5,2106.222222222222,1497.7283950617284,1253.2561983471073,1076.7573964497042,1005.795918367347,888.53125,687.718820861678,540.8340192043895,473.3860561914672,409.52469135802465,360.8352171326591,322.48771266540643,291.5048058439062,244.5159903251814,210.57012497520333,184.89925316262764,164.80666586161092,148.65248505048524,135.38219300381462,124.28686565125334,114.87232678748325,106.7835621950606,99.7589579404412,93.60148142432776,88.15991245169454,83.31626018741795,78.9771113730435,75.06754783297444
2844.0,2106.666666666667,1498.074074074074,1253.5537190082646,1077.0177514792902,1006.0408163265306,888.75,687.8911564625851,540.9711934156378,473.50676378772107,409.6296296296296,360.9280190362879,322.57088846880913,291.5801614763553,244.57941413598496,210.62487601666336,184.9474165523548,164.84965583866682,148.69130477404175,135.41757974190406,124.31937709172871,114.90239496532837,106.81152859514108,99.78509714486208,93.62601751475637,88.18303067610546,83.33811544214157,78.99783448918616,75.08725031558626
2844.0,2106.666666666667,1498.074074074074,1253.5537190082646,1077.0177514792902,1006.0408163265306,888.75,687.8911564625851,540.9711934156378,473.50676378772107,409.6296296296296,360.9280190362879,322.57088846880913,291.5801614763553,244.57941413598496,210.62487601666336,184.9474165523548,164.84965583866682,148.69130477404175,135.41757974190406,124.31937709172871,114.90239496532837,106.81152859514108,99.78509714486208,93.62601751475637,88.18303067610546,83.33811544214157,78.99783448918616,75.08725031558626
2843.0,2106.0,1497.6296296296296,1253.190082644628,1076.7100591715978,1005.7551020408164,888.5,687.7006802721088,540.8230452674896,473.37773152965656,409.5185185185185,360.83045806067815,322.48393194706995,291.50173010380627,244.51384036549314,210.56853798849437,184.89803383630544,164.8056997947108,148.65170081364573,135.381543705868,124.28631924048904,114.87186061418332,106.78315980081484,99.75860707863691,93.60117279425947,88.15963886323996,83.31601599462775,78.9768920808092,75.06734981807381
2842.5,2105.5555555555557,1497.2839506172838,1252.892561983471,1076.4497041420118,1005.5102040816328,888.28125,687.5283446712017,540.6858710562414,473.2570239334027,409.4135802469135,360.7376561570494,322.4007561436673,291.4263744713572,244.4504165546896,210.51378694703433,184.84987044657825,164.76270981765487,148.61288109008922,135.3461569677786,124.25380780001366,114.8417924363382,106.75519340073436,99.73246787421604,93.57663670383086,88.13652063882904,83.29416073990416,78.95616896466655,75.047647335462
2842.0,2105.222222222222,1497.0617283950617,1252.7107438016528,1076.2958579881656,1005.3673469387754,888.15625,687.4331065759636,540.6117969821673,473.1925078043704,409.35802469135797,360.6888756692445,322.3572778827977,291.38715878508265,244.4176296694437,210.48561793294982,184.82517908855357,164.74073179567688,148.59307910989116,135.32813894976056,124.23727887439384,114.82652526076568,106.74100900357124,99.71922284110346,93.56421434358242,88.12482473239629,83.28311101614725,78.94569776047805,75.03769708670578
2841.75,2105.0,1496.888888888889,1252.5619834710742,1076.1656804733727,1005.2448979591836,888.046875,687.3469387755101,540.5432098765432,473.13215400624347,409.30555555555554,360.6424747174301,322.3156899810964,291.3494809688582,244.38591776404192,210.45824241221982,184.80109739369,164.71923680714892,148.57366924811294,135.31044558071585,124.22102315415614,114.81149117184313,106.727025803531,99.70615323889304,93.55194629836811,88.11326562019082,83.27218338878544,78.93533620240675,75.02784584539987
2840.25,2104.0,1496.2222222222222,1252.0165289256197,1075.7041420118344,1004.8163265306121,887.671875,687.0612244897959,540.320987654321,472.93860561914676,409.13888888888886,360.4961332540155,322.1852551984877,291.23183391003465,244.2875571083042,210.37373536996628,184.7270233196159,164.65330274121484,148.5142633075189,135.2563915266618,124.17143637729663,114.76568964512558,106.68447261204165,99.66641813955529,93.51467921762277,88.07817790089257,83.23903421751473,78.9039225898413,74.99799509913122
2840.5,2104.0,1496.148148148148,1251.9338842975208,1075.621301775148,1004.734693877551,887.59375,686.9931972789116,540.2633744855966,472.8865764828304,409.09259259259255,360.454491374182,322.14744801512285,291.19723183391,244.2579951625907,210.34794683594527,184.70416095107453,164.63277381958702,148.49563768258014,135.23934745556366,124.15572706782324,114.75112172950294,106.67089180624717,99.65369939914916,93.50271980247675,88.06689237714167,83.22835078294312,78.89378032400427,74.98834187272593
2839.5,2103.4444444444443,1495.8271604938273,1251.685950413223,1075.4201183431953,1004.5510204081631,887.4375,686.8798185941043,540.1783264746227,472.8137356919875,409.03086419753083,360.4009518143962,322.10018903591686,291.15494040753555,244.22305831765655,210.31819083515177,184.67825026672762,164.60982973070887,148.4750514655426,135.22068013959904,124.13865173143913,114.7353883806305,106.65630501483828,99.64010350423229,93.48998881216002,88.05492288225437,83.21705686639602,78.88308982758149,74.97819360906908
2839.25,2103.1111111111113,1495.5308641975307,1251.4214876033056,1075.1834319526629,1004.3265306122448,887.234375,686.7165532879819,540.0466392318244,472.69719042663894,408.929012345679,360.31052944675787,322.0189035916824,291.0811226451365,244.16070948669713,210.26423328704624,184.63069654016155,164.56732278710302,148.43662386040586,135.1856180504829,124.10641349634588,114.70555328943536,106.62853981188069,99.61413973071357,93.46560703676555,88.03194145207073,83.19532370806752,78.86247635755599,74.95859013390758
2840.5,2104.0,1496.148148148148,1251.9338842975208,1075.621301775148,1004.734693877551,887.59375,686.9931972789116,540.2633744855966,472.8865764828304,409.09259259259255,360.454491374182,322.14744801512285,291.19723183391,244.2579951625907,210.34794683594527,184.70416095107453,164.63277381958702,148.49563768258014,135.23934745556366,124.15572706782324,114.75112172950294,106.67089180624717,99.65369939914916,93.50271980247675,88.06689237714167,83.22835078294312,78.89378032400427,74.98834187272593
2841.5,2104.777777777778,1496.716049382716,1252.4132231404958,1076.0355029585799,1005.1224489795918,887.9375,687.2607709750566,540.474622770919,473.07180020811654,409.25308641975306,360.5960737656157,322.2741020793951,291.3118031526336,244.35420585864017,210.43086689148979,184.7770156988264,164.69774181862095,148.55425938633465,135.29275221167114,124.20476743391845,114.79645708292057,106.71304260349076,99.69308363668262,93.5396782531538,88.10170650798536,83.26125576142366,78.9249746443354,75.01799460409396
2841.25,2104.6666666666665,1496.6666666666665,1252.3801652892562,1076.0118343195268,1005.1020408163265,887.921875,687.251700680272,540.469135802469,473.06763787721127,409.25,360.5936942296252,322.27221172022684,291.3102652825836,244.35313087879604,210.43007339813528,184.77640603566527,164.6972587851709,148.5538672679149,135.2924275626978,124.2044942285363,114.79622399627061,106.71284140636789,99.69290820578045,93.53952393811966,88.10156971375807,83.26113366502854,78.92486499821825,75.01789559664365
2840.5,2104.111111111111,1496.2716049382716,1252.0495867768595,1075.7278106508877,1004.8367346938776,887.6875,687.0702947845805,540.3264746227708,472.94276795005203,409.1419753086419,360.498512790006,322.187145557656,291.23337178008455,244.28863208814835,210.3745288633208,184.727632982777,164.65378577466493,148.51465542593863,135.2567161756351,124.17170958267879,114.76592273177553,106.68467380916452,99.66659357045745,93.51483353265691,88.07831469511986,83.23915631390983,78.90403223595845,74.99809410658153
2838.25,2102.5555555555557,1495.2098765432097,1251.1735537190084,1074.98224852071,1004.1428571428571,887.078125,686.6031746031746,539.9615912208504,472.6243496357961,408.86728395061726,360.25698988697206,321.9716446124764,291.03883121876197,244.12577264176298,210.23447728625274,184.60478585581467,164.54437869822488,148.4160376433683,135.1669507345183,124.08933815996176,114.6898199405629,106.6139530204718,99.60054383579669,93.45287604644882,88.0199719571834,83.1840297915204,78.8517858611332,74.94844187025075
2837.75,2102.0,1494.7407407407406,1250.7603305785124,1074.6153846153848,1003.795918367347,886.765625,686.3537414965986,539.761316872428,472.4474505723205,408.71296296296293,360.12016656751933,321.84877126654067,290.9273356401384,244.03171190540178,210.1531442174172,184.533150434385,164.48037676609107,148.3582001764533,135.1141952763574,124.04084420463084,114.64495076044518,106.57220461747397,99.56151046006754,93.41622622584003,87.9854314147943,83.1513690058301,78.82081083303638,74.91898715378332
2837.0,2101.5555555555557,1494.4691358024688,1250.5454545454545,1074.4378698224853,1003.6326530612245,886.625,686.2494331065759,539.681755829904,472.37877211238293,408.6543209876543,360.06900654372396,321.80340264650283,290.8865820838139,243.99785004031173,210.1241817099782,184.50784941319918,164.45791571066297,148.3380060778355,135.09585260936612,124.02404207362886,114.6294504982227,106.55781902318796,99.5480899960528,93.40364955055745,87.97359871413425,83.14019718567809,78.81022998273073,74.9089378975768
2836.5,2101.111111111111,1494.1234567901233,1250.2479338842975,1074.1775147928995,1003.3877551020407,886.40625,686.0770975056689,539.5445816186557,472.258064516129,408.5493827160493,359.9762046400952,321.7202268431002,290.81122645136486,243.93442622950818,210.06943066851815,184.45968602347202,164.41492573360705,148.299186354279,135.06046587127668,123.99153063315347,114.5993823203776,106.52985262310749,99.52195079163195,93.37911346012885,87.95048048972333,83.1183419309545,78.7895068665881,74.88923541496499
2837.5,2101.777777777778,1494.5679012345677,1250.6115702479337,1074.4852071005919,1003.6734693877551,886.65625,686.2675736961451,539.6927297668038,472.38709677419354,408.66049382716045,360.07376561570493,321.8071833648393,290.88965782391386,244.0,210.12576869668717,184.5090687395214,164.45888177756308,148.338790314675,135.0965019073127,124.02458848439315,114.62991667152264,106.55822141743373,99.54844085785712,93.40395818062574,87.97387230258883,83.1404413784683,78.81044927496507,74.90913591247741
2837.5,2101.8888888888887,1494.6913580246912,1250.7272727272727,1074.5917159763314,1003.7755102040817,886.75,686.344671201814,539.7558299039781,472.4432882414152,408.7098765432098,360.11778703152885,321.8468809073724,290.9257977700884,244.03063692555764,210.1523507240627,184.53254077122386,164.47989373264102,148.35780805803353,135.11387062738413,124.04057099924869,114.64471767379521,106.57200342035108,99.56133502916538,93.4160719108059,87.985294620567,83.151246909435,78.82070118691922,74.91888814633302
2841.75,2104.666666666667,1496.5185185185185,1252.2148760330579,1075.8461538461538,1004.9387755102041,887.765625,687.1156462585034,540.3539094650205,472.96357960457857,409.1574074074074,360.51041046995834,322.19659735349717,291.2410611303345,244.29400698736902,210.37849633009324,184.7306812985825,164.65620094191524,148.51661601803744,135.25833942050156,124.17307560958952,114.76708816502534,106.68567979477893,99.66747072496821,93.51560510782762,88.07899866625628,83.23976679588534,78.90458046654423,74.99858914383307
2843.5,2106.333333333333,1497.8518518518517,1253.371900826446,1076.863905325444,1005.8979591836735,888.625,687.795918367347,540.8971193415637,473.44224765868887,409.574074074074,360.87923854848304,322.5274102079395,291.54094579008074,244.54662725073905,210.59670700257885,184.92272519433013,164.82767781668883,148.67150279384373,135.39956172388605,124.30284816610887,114.88712778975584,106.79734419797796,99.7718521117495,93.61359515450792,88.17133476967271,83.32706571838466,78.98736328499768,75.07730006683003
2843.25,2106.111111111111,1497.679012345679,1253.2231404958677,1076.733727810651,1005.7755102040817,888.515625,687.7097505668935,540.8285322359395,473.3818938605619,409.52160493827154,360.8328375966687,322.48582230623816,291.50326797385617,244.51491534533727,210.56933148184885,184.89864349946654,164.80618282816087,148.6520929320655,135.38186835484134,124.2865924458712,114.87209370083328,106.78336099793772,99.75878250953906,93.6013271092936,88.15977565746724,83.31613809102285,78.97700172692635,75.06744882552412
2841.75,2105.111111111111,1497.0123456790122,1252.6776859504132,1076.2721893491125,1005.3469387755101,888.140625,687.4240362811792,540.6063100137173,473.1883454734651,409.35493827160485,360.686496133254,322.3553875236295,291.38562091503263,244.4165546895996,210.48482443959531,184.82456942539247,164.7402487622268,148.59268699147142,135.32781430078728,124.2370056690117,114.82629217411572,106.74080780644836,99.71904741020131,93.56406002854827,88.12468793816899,83.28298891975214,78.9455881143609,75.03759807925547
2841.0,2104.4444444444443,1496.4938271604938,1252.2314049586776,1075.881656804734,1004.9795918367347,887.8125,687.1655328798186,540.4005486968449,473.0072840790843,409.19753086419746,360.5472932778108,322.2306238185255,291.272587466359,244.32141897339426,210.40269787740527,184.7523243408017,164.6757637966429,148.53445740613665,135.2747341936531,124.18823850829861,114.78118990734805,106.69885820632764,99.67983860357003,93.52725589290534,88.0900106015526,83.25020603766674,78.91450344014693,75.00804435533774
