SMA_3,SMA_5,SMA_8,SMA_10,SMA_12,SMA_13,SMA_15,SMA_20,SMA_26,SMA_30,SMA_35,SMA_40,SMA_45,SMA_50,SMA_60,SMA_70,SMA_80,SMA_90,SMA_100,SMA_110,SMA_120,SMA_130,SMA_140,SMA_150,SMA_160,SMA_170,SMA_180,SMA_190
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262.6666666666667,757.6,473.5,378.8,315.6666666666667,291.38461538461536,252.53333333333333,189.4,145.69230769230768,126.26666666666667,108.22857142857143,94.7,84.17777777777778,75.76,63.13333333333333,54.114285714285714,47.35,42.08888888888889,37.88,34.43636363636364,31.566666666666666,29.138461538461538,27.057142857142857,25.253333333333334,23.675,22.28235294117647,21.044444444444444,19.936842105263157
2525.0,1515.0,946.875,757.5,631.25,582.6923076923077,505.0,378.75,291.34615384615387,252.5,216.42857142857142,189.375,168.33333333333334,151.5,126.25,108.21428571428571,94.6875,84.16666666666667,75.75,68.86363636363636,63.125,58.26923076923077,54.107142857142854,50.5,47.34375,44.55882352941177,42.083333333333336,39.86842105263158
3788.3333333333335,2273.0,1420.625,1136.5,947.0833333333334,874.2307692307693,757.6666666666666,568.25,437.11538461538464,378.8333333333333,324.7142857142857,284.125,252.55555555555554,227.3,189.41666666666666,162.35714285714286,142.0625,126.27777777777777,113.65,103.31818181818181,94.70833333333333,87.42307692307692,81.17857142857143,75.76666666666667,71.03125,66.8529411764706,63.138888888888886,59.81578947368421
3789.6666666666665,3031.4,1894.625,1515.7,1263.0833333333333,1165.923076923077,1010.4666666666667,757.85,582.9615384615385,505.23333333333335,433.0571428571429,378.925,336.8222222222222,303.14,252.61666666666667,216.52857142857144,189.4625,168.4111111111111,151.57,137.79090909090908,126.30833333333334,116.5923076923077,108.26428571428572,101.04666666666667,94.73125,89.15882352941176,84.20555555555555,79.77368421052631
3791.3333333333335,3789.8,2368.625,1894.9,1579.0833333333333,1457.6153846153845,1263.2666666666667,947.45,728.8076923076923,631.6333333333333,541.4,473.725,421.0888888888889,378.98,315.81666666666666,270.7,236.8625,210.54444444444445,189.49,172.26363636363635,157.90833333333333,145.76153846153846,135.35,126.32666666666667,118.43125,111.46470588235294,105.27222222222223,99.73157894736842
3792.0,3790.6,2842.625,2274.1,1895.0833333333333,1749.3076923076924,1516.0666666666666,1137.05,874.6538461538462,758.0333333333333,649.7428571428571,568.525,505.35555555555555,454.82,379.01666666666665,324.87142857142857,284.2625,252.67777777777778,227.41,206.73636363636365,189.50833333333333,174.93076923076924,162.43571428571428,151.60666666666665,142.13125,133.77058823529413,126.33888888888889,119.68947368421053
3791.3333333333335,3791.2,3316.375,2653.1,2210.9166666666665,2040.8461538461538,1768.7333333333333,1326.55,1020.4230769230769,884.3666666666667,758.0285714285715,663.275,589.5777777777778,530.62,442.18333333333334,379.01428571428573,331.6375,294.7888888888889,265.31,241.1909090909091,221.09166666666667,204.08461538461538,189.50714285714287,176.87333333333333,165.81875,156.06470588235294,147.39444444444445,139.63684210526316
3790.6666666666665,3791.2,3790.125,3032.1,2526.75,2332.3846153846152,2021.4,1516.05,1166.1923076923076,1010.7,866.3142857142857,758.025,673.8,606.42,505.35,433.15714285714284,379.0125,336.9,303.21,275.6454545454545,252.675,233.23846153846154,216.57857142857142,202.14,189.50625,178.35882352941175,168.45,159.5842105263158
3789.6666666666665,3790.6,3790.25,3411.0,2842.5,2623.846153846154,2274.0,1705.5,1311.923076923077,1137.0,974.5714285714286,852.75,758.0,682.2,568.5,487.2857142857143,426.375,379.0,341.1,310.09090909090907,284.25,262.38461538461536,243.64285714285714,227.4,213.1875,200.64705882352942,189.5,179.52631578947367
3789.3333333333335,3790.0,3790.5,3789.9,3158.25,2915.3076923076924,2526.6,1894.95,1457.6538461538462,1263.3,1082.8285714285714,947.475,842.2,757.98,631.65,541.4142857142857,473.7375,421.1,378.99,344.53636363636366,315.825,291.53076923076924,270.70714285714286,252.66,236.86875,222.93529411764706,210.55,199.46842105263158
3788.0,3788.8,3790.0,3789.7,3473.75,3206.5384615384614,2779.0,2084.25,1603.2692307692307,1389.5,1191.0,1042.125,926.3333333333334,833.7,694.75,595.5,521.0625,463.1666666666667,416.85,378.95454545454544,347.375,320.65384615384613,297.75,277.9,260.53125,245.2058823529412,231.58333333333334,219.39473684210526
3787.6666666666665,3788.4,3789.5,3789.8,3789.4166666666665,3497.923076923077,3031.5333333333333,2273.65,1748.9615384615386,1515.7666666666667,1299.2285714285715,1136.825,1010.5111111111111,909.46,757.8833333333333,649.6142857142858,568.4125,505.25555555555553,454.73,413.3909090909091,378.94166666666666,349.7923076923077,324.8071428571429,303.1533333333333,284.20625,267.48823529411766,252.62777777777777,239.33157894736843
3786.3333333333335,3787.4,3788.625,3789.3,3789.1666666666665,3789.076923076923,3283.866666666667,2462.9,1894.5384615384614,1641.9333333333334,1407.3714285714286,1231.45,1094.6222222222223,985.16,820.9666666666667,703.6857142857143,615.725,547.3111111111111,492.58,447.8,410.48333333333335,378.9076923076923,351.84285714285716,328.38666666666666,307.8625,289.7529411764706,273.65555555555557,259.2526315789474
