close_mean60,close_mean50,close_mean40,close_mean30,close_mean20,close_mean10
0.0,0.0,0.0,0.0,0.0,0.0
0.49583333333333335,0.595,0.74375,0.9916666666666667,1.4875,2.975
0.9866666666666667,1.1840000000000002,1.48,1.9733333333333334,2.96,5.92
1.4766666666666666,1.7719999999999998,2.215,2.953333333333333,4.43,8.86
1.9658333333333333,2.359,2.94875,3.9316666666666666,5.8975,11.795
2.4741666666666666,2.969,3.7112499999999997,4.948333333333333,7.422499999999999,14.844999999999999
2.9825,3.5789999999999997,4.47375,5.965,8.9475,17.895
3.4941666666666666,4.1930000000000005,5.24125,6.988333333333333,10.4825,20.965
4.005,4.806,6.007499999999999,8.01,12.014999999999999,24.029999999999998
4.519166666666666,5.422999999999999,6.77875,9.038333333333332,13.5575,27.115
5.030833333333333,6.036999999999999,7.546249999999999,10.061666666666666,15.092499999999998,30.184999999999995
5.5424999999999995,6.650999999999999,8.313749999999999,11.084999999999999,16.627499999999998,30.279999999999994
6.052499999999999,7.263,9.07875,12.104999999999999,18.1575,30.395
6.5633333333333335,7.876,9.845,13.126666666666667,19.69,30.520000000000003
7.075833333333334,8.491,10.61375,14.151666666666667,21.2275,30.660000000000004
7.593333333333333,9.112,11.389999999999999,15.186666666666666,22.779999999999998,30.714999999999996
8.112499999999999,9.735,12.16875,16.224999999999998,24.3375,30.779999999999994
8.631666666666664,10.357999999999997,12.947499999999996,17.26333333333333,25.894999999999992,30.824999999999996
9.157499999999999,10.988999999999999,13.736249999999998,18.314999999999998,27.472499999999997,30.915
9.685,11.622,14.5275,19.37,29.055,30.994999999999997
10.2125,12.255,15.31875,20.425,30.6375,31.090000000000003
10.741666666666667,12.89,16.1125,21.483333333333334,30.7375,31.195000000000004
11.276666666666669,13.532000000000004,16.915000000000003,22.553333333333338,30.870000000000005,31.345000000000006
11.813333333333334,14.176000000000002,17.720000000000002,23.62666666666667,31.01,31.500000000000007
12.355833333333335,14.827000000000004,18.533750000000005,24.71166666666667,31.170000000000005,31.68
12.895000000000001,15.474,19.3425,25.790000000000003,31.2625,31.810000000000002
13.435,16.122,20.1525,26.87,31.357499999999998,31.934999999999995
13.977500000000001,16.773000000000003,20.966250000000002,27.955000000000002,31.45,32.074999999999996
14.521666666666668,17.426000000000002,21.782500000000002,29.043333333333337,31.55,32.18499999999999
15.066666666666668,18.080000000000002,22.6,30.133333333333336,31.642500000000002,32.29
15.610833333333336,18.733,23.41625,31.22166666666667,31.74,32.39
16.157500000000002,19.389,24.236250000000002,31.323333333333334,31.84499999999999,32.495
16.7025,20.043000000000003,25.05375,31.43166666666667,31.949999999999996,32.555
17.250833333333336,20.701000000000004,25.876250000000006,31.548333333333336,32.06249999999999,32.625
17.795,21.354,26.692500000000003,31.658333333333335,32.15749999999999,32.635000000000005
18.341666666666672,22.010000000000005,27.512500000000006,31.735000000000003,32.245,32.68
18.8875,22.665,28.33125,31.81,32.324999999999996,32.715
19.433333333333334,23.32,29.15,31.87833333333333,32.404999999999994,32.735
19.98,23.976,29.97,31.95,32.4675,32.75
20.52583333333333,24.631,30.78875,32.013333333333335,32.5225,32.755
21.072499999999998,25.287,31.608749999999997,32.08333333333333,32.58,32.769999999999996
21.620833333333334,25.945,31.6875,32.15666666666666,32.6375,32.779999999999994
22.169999999999998,26.603999999999996,31.774999999999995,32.23499999999999,32.67999999999999,32.80499999999999
22.725833333333334,27.271,31.873749999999994,32.324999999999996,32.7375,32.85
23.281666666666663,27.938,31.973749999999995,32.41166666666666,32.777499999999996,32.92
23.839166666666664,28.607,32.0475,32.49166666666666,32.832499999999996,32.985
24.395833333333332,29.275,32.12,32.566666666666656,32.88249999999999,33.05
24.950833333333332,29.941,32.184999999999995,32.63833333333333,32.92,33.105000000000004
25.50916666666667,30.611000000000004,32.25625,32.70333333333333,32.9625,33.175
26.068333333333335,31.282000000000004,32.323750000000004,32.766666666666666,33.004999999999995,33.254999999999995
26.639166666666668,31.967000000000002,32.4125,32.85333333333333,33.084999999999994,33.39999999999999
27.208333333333336,32.05500000000001,32.49875,32.93333333333333,33.152499999999996,33.525000000000006
27.779166666666676,32.15100000000001,32.59000000000001,33.004999999999995,33.23,33.65500000000001
28.350833333333338,32.249,32.68125,33.074999999999996,33.3,33.75
28.92166666666667,32.347,32.76875,33.13166666666666,33.379999999999995,33.839999999999996
29.5075,32.44,32.871249999999996,33.224999999999994,33.497499999999995,34.01
30.09416666666667,32.534,32.9725,33.31833333333332,33.61999999999999,34.19
30.670000000000005,32.611000000000004,33.0575,33.385,33.709999999999994,34.315000000000005
31.25416666666667,32.699,33.144999999999996,33.464999999999996,33.8225,34.47
31.839166666666674,32.784000000000006,33.23125,33.544999999999995,33.940000000000005,34.625
32.45250000000001,32.906000000000006,33.36,33.68333333333333,34.14,34.879999999999995
32.56083333333334,33.01700000000001,33.472500000000004,33.79833333333333,34.307500000000005,35.09
32.6775,33.13400000000001,33.58125,33.923333333333325,34.4825,35.309999999999995
32.795,33.25000000000001,33.6875,34.04166666666666,34.637499999999996,35.52499999999999
32.90583333333334,33.35500000000001,33.77375000000001,34.15333333333333,34.769999999999996,35.699999999999996
33.00000000000001,33.45700000000001,33.868750000000006,34.26499999999999,34.904999999999994,35.8
33.091666666666676,33.554,33.95875,34.37333333333333,35.035,35.88000000000001
33.19000000000001,33.663000000000004,34.06000000000001,34.501666666666665,35.199999999999996,36.085
33.28083333333334,33.754000000000005,34.14625,34.611666666666665,35.33,36.190000000000005
33.36833333333335,33.843,34.23125,34.723333333333336,35.457499999999996,36.290000000000006
