date-time,close,dont-know,high,low,open,quantity
2019-12-27T00:00:00+0530,154.9,104,158.7,154.0,158.0,232
2019-12-30T00:00:00+0530,156.1,146,158.3,155.7,157.5,192
2019-12-31T00:00:00+0530,155.2,260,157.4,154.3,156.0,278
2020-01-01T00:00:00+0530,154.8,287,156.0,154.1,155.9,74
2020-01-02T00:00:00+0530,152.0,408,156.0,151.8,155.2,456
2020-01-03T00:00:00+0530,153.8,441,155.1,150.8,152.8,347
2020-01-06T00:00:00+0530,155.1,556,157.2,154.4,154.4,531
2020-01-07T00:00:00+0530,157.0,708,157.4,154.0,156.3,531
2020-01-08T00:00:00+0530,153.8,809,156.9,151.1,155.8,653
2020-01-09T00:00:00+0530,153.9,975,155.9,151.9,155.7,551
2020-01-10T00:00:00+0530,155.7,1196,156.6,153.5,155.4,798
2020-01-13T00:00:00+0530,154.0,1245,156.0,153.1,154.6,437
2020-01-14T00:00:00+0530,156.4,1342,157.5,153.3,155.5,629
2020-01-15T00:00:00+0530,150.8,1461,154.8,150.3,154.3,667
2020-01-16T00:00:00+0530,151.6,1566,152.5,150.5,151.2,481
2020-01-17T00:00:00+0530,144.6,1872,150.4,144.3,150.4,980
2020-01-20T00:00:00+0530,140.6,2191,142.7,138.9,142.7,1129
2020-01-21T00:00:00+0530,138.2,2366,142.0,137.7,140.7,898
2020-01-22T00:00:00+0530,139.5,2374,141.0,138.7,138.7,595
2020-01-23T00:00:00+0530,140.7,2427,142.8,139.9,140.2,736
2020-01-24T00:00:00+0530,137.2,2456,140.3,136.9,140.3,1035
2020-01-27T00:00:00+0530,139.8,2506,142.5,138.1,138.1,1092
2020-01-28T00:00:00+0530,140.3,2872,140.7,137.2,139.3,2159
2020-01-29T00:00:00+0530,138.1,3000,140.6,137.0,140.0,2376
2020-01-30T00:00:00+0530,135.5,3328,138.9,135.0,137.8,3541
2020-01-31T00:00:00+0530,136.2,3351,137.1,134.3,135.5,3076
2020-02-01T00:00:00+0530,137.4,3282,137.7,136.2,136.4,375
2020-02-03T00:00:00+0530,134.8,3567,138.6,134.2,137.8,4181
2020-02-04T00:00:00+0530,136.8,3666,137.6,133.1,134.1,3564
2020-02-05T00:00:00+0530,135.6,4148,137.4,133.8,137.1,4313
2020-02-06T00:00:00+0530,137.9,4622,138.4,133.6,136.3,6900
2020-02-07T00:00:00+0530,137.2,4754,138.2,134.7,136.6,6124
2020-02-10T00:00:00+0530,129.8,5276,135.8,129.6,135.8,5941
2020-02-11T00:00:00+0530,130.0,5348,130.8,128.9,130.1,4628
2020-02-12T00:00:00+0530,134.0,5108,134.4,130.9,131.5,5956
2020-02-13T00:00:00+0530,134.6,5307,136.1,133.4,134.1,5266
2020-02-14T00:00:00+0530,134.4,5660,135.0,132.0,133.6,4785
2020-02-17T00:00:00+0530,139.7,6665,140.1,135.1,135.1,6773
2020-02-18T00:00:00+0530,141.6,8530,141.9,138.6,139.0,10340
2020-02-19T00:00:00+0530,141.2,10576,141.7,140.1,141.1,8853
2020-02-20T00:00:00+0530,142.6,11517,146.5,140.2,141.5,14703
2020-02-21T00:00:00+0530,138.9,12762,141.1,136.1,141.1,13231
2020-02-24T00:00:00+0530,134.8,17326,138.5,133.6,138.5,30883
2020-02-25T00:00:00+0530,134.2,27122,135.6,132.8,135.0,55635
2020-02-26T00:00:00+0530,134.2,28638,136.0,131.9,133.9,128576
2020-02-27T00:00:00+0530,124.8,36003,133.8,124.2,133.8,158308
2020-02-28T00:00:00+0530,124.3,31495,127.7,119.6,127.0,186836
2020-03-02T00:00:00+0530,127.7,29071,129.1,124.7,126.2,175937
2020-03-03T00:00:00+0530,133.7,24300,135.3,128.9,128.9,199085
2020-03-04T00:00:00+0530,134.1,23751,136.6,131.8,133.8,147346
2020-03-05T00:00:00+0530,132.5,24474,136.4,132.3,134.5,150579
2020-03-06T00:00:00+0530,129.4,24945,132.2,128.5,132.2,129318
2020-03-09T00:00:00+0530,131.1,21570,131.9,119.9,128.8,153794
