,open,high,low,close,bearish_bullish_index,bullish_index,bearish_index,bearish_bullish_index_exp_1,bullish_index_exp_1,bearish_index_exp_1,bearish_bullish_index_exp_inv_1,bullish_index_exp_inv_1,bearish_index_exp_inv_1,bearish_bullish_index_pow_1,bullish_index_pow_1,bearish_index_pow_1,bearish_bullish_index_exp_2,bullish_index_exp_2,bearish_index_exp_2,bearish_bullish_index_exp_inv_2,bullish_index_exp_inv_2,bearish_index_exp_inv_2,bearish_bullish_index_pow_2,bullish_index_pow_2,bearish_index_pow_2,bearish_bullish_index_exp_3,bullish_index_exp_3,bearish_index_exp_3,bearish_bullish_index_exp_inv_3,bullish_index_exp_inv_3,bearish_index_exp_inv_3,bearish_bullish_index_pow_3,bullish_index_pow_3,bearish_index_pow_3,bearish_bullish_index_exp_4,bullish_index_exp_4,bearish_index_exp_4,bearish_bullish_index_exp_inv_4,bullish_index_exp_inv_4,bearish_index_exp_inv_4,bearish_bullish_index_pow_4,bullish_index_pow_4,bearish_index_pow_4,bearish_bullish_index_exp_5,bullish_index_exp_5,bearish_index_exp_5,bearish_bullish_index_exp_inv_5,bullish_index_exp_inv_5,bearish_index_exp_inv_5,bearish_bullish_index_pow_5,bullish_index_pow_5,bearish_index_pow_5,bearish_bullish_index_exp_6,bullish_index_exp_6,bearish_index_exp_6,bearish_bullish_index_exp_inv_6,bullish_index_exp_inv_6,bearish_index_exp_inv_6,bearish_bullish_index_pow_6,bullish_index_pow_6,bearish_index_pow_6,bearish_bullish_index_exp_7,bullish_index_exp_7,bearish_index_exp_7,bearish_bullish_index_exp_inv_7,bullish_index_exp_inv_7,bearish_index_exp_inv_7,bearish_bullish_index_pow_7,bullish_index_pow_7,bearish_index_pow_7,bearish_bullish_index_exp_8,bullish_index_exp_8,bearish_index_exp_8,bearish_bullish_index_exp_inv_8,bullish_index_exp_inv_8,bearish_index_exp_inv_8,bearish_bullish_index_pow_8,bullish_index_pow_8,bearish_index_pow_8,bearish_bullish_index_exp_9,bullish_index_exp_9,bearish_index_exp_9,bearish_bullish_index_exp_inv_9,bullish_index_exp_inv_9,bearish_index_exp_inv_9,bearish_bullish_index_pow_9,bullish_index_pow_9,bearish_index_pow_9,bearish_bullish_index_exp_10,bullish_index_exp_10,bearish_index_exp_10,bearish_bullish_index_exp_inv_10,bullish_index_exp_inv_10,bearish_index_exp_inv_10,bearish_bullish_index_pow_10,bullish_index_pow_10,bearish_index_pow_10,bearish_bullish_index_exp_11,bullish_index_exp_11,bearish_index_exp_11,bearish_bullish_index_exp_inv_11,bullish_index_exp_inv_11,bearish_index_exp_inv_11,bearish_bullish_index_pow_11,bullish_index_pow_11,bearish_index_pow_11,bearish_bullish_index_exp_12,bullish_index_exp_12,bearish_index_exp_12,bearish_bullish_index_exp_inv_12,bullish_index_exp_inv_12,bearish_index_exp_inv_12,bearish_bullish_index_pow_12,bullish_index_pow_12,bearish_index_pow_12,bearish_bullish_index_exp_13,bullish_index_exp_13,bearish_index_exp_13,bearish_bullish_index_exp_inv_13,bullish_index_exp_inv_13,bearish_index_exp_inv_13,bearish_bullish_index_pow_13,bullish_index_pow_13,bearish_index_pow_13,bearish_bullish_index_exp_14,bullish_index_exp_14,bearish_index_exp_14,bearish_bullish_index_exp_inv_14,bullish_index_exp_inv_14,bearish_index_exp_inv_14,bearish_bullish_index_pow_14,bullish_index_pow_14,bearish_index_pow_14,bearish_bullish_index_exp_15,bullish_index_exp_15,bearish_index_exp_15,bearish_bullish_index_exp_inv_15,bullish_index_exp_inv_15,bearish_index_exp_inv_15,bearish_bullish_index_pow_15,bullish_index_pow_15,bearish_index_pow_15,bearish_bullish_index_exp_16,bullish_index_exp_16,bearish_index_exp_16,bearish_bullish_index_exp_inv_16,bullish_index_exp_inv_16,bearish_index_exp_inv_16,bearish_bullish_index_pow_16,bullish_index_pow_16,bearish_index_pow_16,bearish_bullish_index_exp_17,bullish_index_exp_17,bearish_index_exp_17,bearish_bullish_index_exp_inv_17,bullish_index_exp_inv_17,bearish_index_exp_inv_17,bearish_bullish_index_pow_17,bullish_index_pow_17,bearish_index_pow_17,bearish_bullish_index_exp_18,bullish_index_exp_18,bearish_index_exp_18,bearish_bullish_index_exp_inv_18,bullish_index_exp_inv_18,bearish_index_exp_inv_18,bearish_bullish_index_pow_18,bullish_index_pow_18,bearish_index_pow_18,bearish_bullish_index_exp_19,bullish_index_exp_19,bearish_index_exp_19,bearish_bullish_index_exp_inv_19,bullish_index_exp_inv_19,bearish_index_exp_inv_19,bearish_bullish_index_pow_19,bullish_index_pow_19,bearish_index_pow_19
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,-0.02836282948271587,-0.0050678003385994505,0.04304435364443134,0.01805273803716037,-0.005067800338599203,0.043044353644431745,0.059766687931126196,0.00506780033859938,-0.04304435364442828,-0.02836282948271587,-0.0050678003385994505,0.04304435364443134,0.01128111278032719,-0.005067800338599619,0.043044353644432015,0.04415421670345322,0.005067800338599179,-0.043044353644432015,0.09789187691493836,-0.0050678003385994505,0.04304435364443134,3.499033360554599e-05,-0.005067800338599798,0.043044353644431856,0.022006200607556002,0.00506780033859942,-0.04304435364442979,-0.02918868678331765,-0.0050678003385994505,0.04304435364443134,-0.003779035073584013,-0.005067800338599609,0.04304435364442968,0.011574878105217469,0.005067800338599168,-0.043044353644430905,0.04974584284921148,-0.0050678003385994505,0.04304435364443134,-0.005006707399809628,-0.0050678003385993915,0.04304435364442813,0.007574095560013576,0.005067800338599775,-0.043044353644430065,-0.02215907020787355,-0.0050678003385994505,0.04304435364443134,-0.005428692917535189,-0.005067800338599553,0.04304435364443097,0.006035672585526269,0.005067800338599429,-0.04304435364443043,0.02322701178487311,-0.0050678003385994505,0.04304435364443134,-0.005580102084836969,-0.005067800338599454,0.043044353644428775,0.005422570717640491,0.005067800338599815,-0.043044353644429975,-0.015362568684503607,-0.0050678003385994505,0.04304435364443134,-0.00563542833451564,-0.005067800338599447,0.043044353644432445,0.005167010524740043,0.005067800338598983,-0.043044353644427026,0.010297514598487182,-0.0050678003385994505,0.04304435364443134,-0.005655771049336218,-0.005067800338599089,0.04304435364443267,0.005054612767213485,0.0050678003385994244,-0.043044353644432175,-0.011435908846908786,-0.0050678003385994505,0.04304435364443134,-0.005663262788197449,-0.005067800338599916,0.0430443536444288,0.005002100844785714,0.005067800338599531,-0.04304435364442956,0.0042408114556375795,-0.0050678003385994505,0.04304435364443134,-0.005666022108945395,-0.005067800338599343,0.0430443536444302,0.004976013056616016,0.005067800338599805,-0.04304435364443236,-0.009479174992504674,-0.0050678003385994505,0.04304435364443134,-0.0056670381364799325,-0.005067800338599288,0.04304435364442816,0.004962310660488869,0.005067800338599179,-0.043044353644431876,0.0014262595258798373,-0.0050678003385994505,0.04304435364443134,-0.005667412147301694,-0.005067800338599336,0.043044353644432744,0.004954780143039397,0.005067800338599884,-0.04304435364442927,-0.008529436092226068,-0.0050678003385994505,0.04304435364443134,-0.005667549794434501,-0.005067800338599353,0.04304435364442942,0.0049504998186238255,0.005067800338599122,-0.04304435364442995,0.00011133938481632372,-0.0050678003385994505,0.04304435364443134,-0.005667600445045879,-0.00506780033859924,0.04304435364442828,0.004948009330000104,0.005067800338599145,-0.04304435364443327,-0.008062008762134138,-0.0050678003385994505,0.04304435364443134,-0.005667619081347692,-0.005067800338599322,0.04304435364443037,0.0049465376462388255,0.005067800338599752,-0.043044353644427685,-0.0005120189065873569,-0.0050678003385994505,0.04304435364443134,-0.005667625937935412,-0.005067800338599593,0.04304435364443118,0.004945659326770864,0.005067800338599533,-0.04304435364443321,-0.007824427852902615,-0.0050678003385994505,0.04304435364443134,-0.005667628460485449,-0.0050678003385993785,0.04304435364442907,0.004945131860654279,0.0050678003385991755,-0.04304435364442736,-0.0008146857739200187,-0.0050678003385994505,0.04304435364443134,-0.005667629388513568,-0.005067800338599409,0.043044353644428025,0.004944813871953446,0.005067800338599088,-0.04304435364442856,-0.007698354276707349,-0.0050678003385994505,0.04304435364443134
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,-0.012534605906531339,0.008884316208363703,0.029896985456122432,0.03326803336033984,0.00888431620836338,0.029896985456122793,0.049618041117893925,-0.008884316208363571,-0.029896985456120476,-0.012534605906531339,0.008884316208363703,0.029896985456122432,0.018362130371893423,0.008884316208363992,0.029896985456122974,0.03944979889511819,-0.00888431620836324,-0.029896985456122977,0.09949775500459024,0.008884316208363703,0.029896985456122432,0.003674209385272396,0.008884316208364353,0.029896985456122186,0.020108943574887676,-0.008884316208363758,-0.02989698545612163,-0.0188520709512308,0.008884316208363703,0.029896985456122432,-0.001086728830042352,0.008884316208364051,0.029896985456121315,0.010637357575878203,-0.00888431620836328,-0.029896985456122196,0.05088756541351076,0.008884316208363703,0.029896985456122432,-0.002603300189264484,0.008884316208363528,0.029896985456120156,0.006943060864266876,-0.008884316208364327,-0.029896985456121752,-0.016215024411410425,0.008884316208363703,0.029896985456122432,-0.003122767990931023,0.00888431620836391,0.029896985456122436,0.005507943541855047,-0.008884316208363642,-0.02989698545612181,0.024578577955038323,0.008884316208363703,0.029896985456122432,-0.0033087687291534565,0.008884316208363722,0.02989698545612053,0.004931891257581218,-0.008884316208364398,-0.02989698545612148,-0.011600980232402306,0.008884316208363703,0.029896985456122432,-0.003376634063101108,0.00888431620836348,0.029896985456123397,0.0046903986181824125,-0.008884316208363075,-0.029896985456119494,0.011730631447679364,0.008884316208363703,0.029896985456122432,-0.003401561299933656,0.008884316208363136,0.029896985456123213,0.00458365657370756,-0.008884316208363668,-0.02989698545612299,-0.008647472701774002,0.008884316208363703,0.029896985456122432,-0.0034107350633235636,0.008884316208364546,0.02989698545612078,0.004533562917061833,-0.00888431620836381,-0.029896985456121183,0.005677809560195337,0.008884316208363703,0.029896985456122432,-0.0034141123998606736,0.008884316208363498,0.029896985456121523,0.0045085796043569625,-0.008884316208364358,-0.029896985456123508,-0.007115947780127249,0.008884316208363703,0.029896985456122432,-0.0034153556446554546,0.008884316208363486,0.029896985456120354,0.004495416041357169,-0.008884316208363233,-0.02989698545612277,0.0028552274105613415,0.008884316208363703,0.029896985456122432,-0.003415813217696851,0.008884316208363404,0.029896985456123494,0.0044881646148875,-0.008884316208364405,-0.029896985456121086,-0.006353262701767542,0.008884316208363703,0.029896985456122432,-0.003415981600379402,0.008884316208363479,0.029896985456121156,0.004484036117959944,-0.008884316208363172,-0.029896985456121575,0.0015352254524606005,0.008884316208363703,0.029896985456122432,-0.0034160435568726926,0.008884316208363486,0.029896985456120382,0.0044816313220492725,-0.008884316208363188,-0.029896985456123976,-0.005969063175035443,0.008884316208363703,0.029896985456122432,-0.0034160663521429135,0.008884316208363519,0.02989698545612182,0.004480209266205361,-0.008884316208364282,-0.02989698545612004,0.000910015335290026,0.008884316208363703,0.029896985456122432,-0.0034160747386789824,0.008884316208363935,0.029896985456122245,0.004479360185248077,-0.008884316208363892,-0.029896985456123806,-0.005769002591049857,0.008884316208363703,0.029896985456122432,-0.0034160778240542914,0.008884316208363661,0.029896985456121003,0.004478850136212928,-0.00888431620836319,-0.02989698545611991,0.0006071649898721175,0.008884316208363703,0.029896985456122432,-0.003416078959131924,0.00888431620836367,0.029896985456120254,0.004478542594958008,-0.008884316208363125,-0.029896985456120403,-0.00566011955845518,0.008884316208363703,0.029896985456122432
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,-0.01564512024161978,0.004347119702283245,0.03161284548944044,0.02602958531251374,0.0043471197022831275,0.03161284548944073,0.047403653038789476,-0.004347119702283227,-0.031612845489438365,-0.01564512024161978,0.004347119702283245,0.03161284548944044,0.013548232494106709,0.0043471197022833955,0.031612845489441016,0.035307805357465666,-0.004347119702283046,-0.03161284548944115,0.09047471977080276,0.004347119702283245,0.03161284548944044,0.0007469225625077007,0.004347119702283611,0.031612845489439434,0.016374351027296827,-0.004347119702283275,-0.031612845489439545,-0.019440089729800488,0.004347119702283245,0.03161284548944044,-0.0033859875557829726,0.0043471197022834415,0.03161284548943914,0.007436005022547725,-0.0043471197022830685,-0.031612845489440045,0.04384660269647122,0.004347119702283245,0.03161284548944044,-0.004694106355256817,0.004347119702283231,0.03161284548943799,0.004004478442454141,-0.004347119702283553,-0.03161284548943977,-0.01578520481413298,0.004347119702283245,0.03161284548944044,-0.005140622253978449,0.00434711970228335,0.031612845489440385,0.0026782633776142547,-0.004347119702283249,-0.031612845489439774,0.019140727332981448,0.004347119702283245,0.03161284548944044,-0.005300323098010884,0.00434711970228324,0.03161284548943872,0.002145115519356747,-0.00434711970228362,-0.031612845489439344,-0.011093497615077975,0.004347119702283245,0.03161284548944044,-0.005358586183446704,0.004347119702283106,0.03161284548944143,0.0019202693469404274,-0.004347119702282956,-0.031612845489437304,0.007358779415149674,0.004347119702283245,0.03161284548944044,-0.005379990387684184,0.004347119702283018,0.03161284548944142,0.0018199977897616097,-0.0043471197022832515,-0.031612845489441065,-0.008234105908025445,0.004347119702283245,0.03161284548944044,-0.005387869245301156,0.004347119702283661,0.031612845489438726,0.0017724569149128054,-0.0043471197022833296,-0.031612845489439205,0.001876395256433644,0.004347119702283245,0.03161284548944044,-0.005390770335602773,0.004347119702283127,0.03161284548943968,0.0017485090571505264,-0.004347119702283575,-0.03161284548944147,-0.006775400493398611,0.004347119702283245,0.03161284548944044,-0.00539183838848117,0.004347119702283164,0.031612845489438206,0.0017357830348737346,-0.004347119702283053,-0.031612845489440815,-0.0006704054931009687,0.004347119702283245,0.03161284548944044,-0.005392231511615564,0.004347119702283113,0.03161284548944152,0.0017287265095857001,-0.004347119702283632,-0.03161284548943905,-0.0060525961496352325,0.004347119702283245,0.03161284548944044,-0.005392376184076204,0.004347119702283171,0.03161284548943902,0.0017246902085959483,-0.0043471197022830095,-0.03161284548943941,-0.0018626454385393767,0.004347119702283245,0.03161284548944044,-0.005392429417925684,0.004347119702283166,0.03161284548943816,0.0017223317411567515,-0.004347119702282999,-0.03161284548944187,-0.0056882109109723045,0.004347119702283245,0.03161284548944044,-0.005392449004276929,0.004347119702283143,0.031612845489439885,0.001720934252127333,-0.00434711970228353,-0.031612845489437914,-0.002429716533213285,0.004347119702283245,0.03161284548944044,-0.0053924562103085,0.004347119702283383,0.03161284548944037,0.0017200987710576155,-0.004347119702283347,-0.031612845489441745,-0.0054976867587138495,0.004347119702283245,0.03161284548944044,-0.005392458861398474,0.004347119702283211,0.03161284548943886,0.0017195964920730703,-0.004347119702283027,-0.031612845489437505,-0.002706261514664531,0.004347119702283245,0.03161284548944044,-0.005392459836710882,0.00434711970228329,0.03161284548943816,0.001719293487439992,-0.004347119702282979,-0.03161284548943854,-0.005393378951307237,0.004347119702283245,0.03161284548944044
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,-0.0047591912166656475,0.015053594477427603,0.022238250360284297,0.037888991534856094,0.015053594477427143,0.022238250360284605,0.04142205902349912,-0.01505359447742739,-0.022238250360282784,-0.0047591912166656475,0.015053594477427603,0.022238250360284297,0.0197188207725286,0.015053594477428116,0.022238250360284675,0.03272346584715682,-0.015053594477426836,-0.022238250360284657,0.09415255152798643,0.015053594477427603,0.022238250360284297,0.004218447287643529,0.01505359447742871,0.022238250360283922,0.015142265894218049,-0.015053594477427724,-0.02223825036028358,-0.012382205080916725,0.015053594477427603,0.022238250360284297,-0.0006966953183996815,0.015053594477428232,0.022238250360283426,0.006617769838767709,-0.01505359447742692,-0.02223825036028402,0.04629228576679737,0.015053594477427603,0.022238250360284297,-0.0022502573500402944,0.015053594477427408,0.02223825036028255,0.0033177779414205817,-0.015053594477428697,-0.022238250360283752,-0.011273492311401704,0.015053594477427603,0.022238250360284297,-0.00278073635295945,0.01505359447742796,0.02223825036028428,0.002037892256511018,-0.015053594477427552,-0.022238250360283776,0.021038206444380467,0.015053594477427603,0.022238250360284297,-0.0029704238108855022,0.015053594477427639,0.02223825036028297,0.001522472046056479,-0.0150535944774288,-0.0222382503602836,-0.007836989208012237,0.015053594477427603,0.022238250360284297,-0.003039590379081767,0.015053594477427183,0.022238250360285042,0.001304904208179997,-0.015053594477426652,-0.02223825036028202,0.00898233648754158,0.015053594477427603,0.022238250360284297,-0.0030649873310329666,0.015053594477426652,0.022238250360284883,0.0012078331518585212,-0.015053594477427542,-0.02223825036028472,-0.005571500878049686,0.015053594477427603,0.022238250360284297,-0.0030743323146104687,0.015053594477429034,0.022238250360283103,0.0011617995718728276,-0.015053594477427823,-0.02223825036028343,0.003363631356550006,0.015053594477427603,0.022238250360284297,-0.0030777723433172057,0.015053594477427254,0.022238250360283658,0.0011386089453228284,-0.015053594477428708,-0.02223825036028507,-0.004385382622092403,0.015053594477427603,0.022238250360284297,-0.0030790385926134185,0.015053594477427237,0.02223825036028264,0.001126285016198221,-0.015053594477426862,-0.022238250360284505,0.000753498993640253,0.015053594477427603,0.022238250360284297,-0.003079504616444515,0.015053594477427077,0.022238250360284973,0.0011194514555070598,-0.015053594477428822,-0.022238250360283287,-0.003786316249037483,0.015053594477427603,0.022238250360284297,-0.0030796761054341626,0.015053594477427297,0.02223825036028327,0.001115542721155627,-0.015053594477426756,-0.02223825036028366,-0.00046647095328517245,0.015053594477427603,0.022238250360284297,-0.0030797392041197447,0.015053594477427327,0.02223825036028275,0.001113258811729385,-0.015053594477426751,-0.0222382503602853,-0.0034781202280691212,0.015053594477427603,0.022238250360284297,-0.0030797624194578476,0.0150535944774273,0.022238250360283898,0.0011119055101290406,-0.015053594477428562,-0.022238250360282527,-0.001045008829044904,0.015053594477427603,0.022238250360284297,-0.003079770960501478,0.015053594477428035,0.0222382503602841,0.0011110964498868051,-0.01505359447742793,-0.02223825036028527,-0.0033133271245651868,0.015053594477427603,0.022238250360284297,-0.0030797741027110514,0.015053594477427532,0.02223825036028316,0.00111061005614031,-0.015053594477426787,-0.02223825036028224,-0.0013259350040932157,0.015053594477427603,0.022238250360284297,-0.003079775258695498,0.0150535944774276,0.02223825036028264,0.0011103166349746203,-0.01505359447742665,-0.022238250360282867,-0.0032209922775831568,0.015053594477427603,0.022238250360284297
